ORIGIN_SZ_C,DEST_SZ_C,O_TOTAL_POP,D_TOTAL_POP,O_MONTHLY_INCOME,D_MONTHLY_INCOME,TRIPS,FlowNoIntra,offset,dist
AMSZ01,AMSZ01,4090,4090,101.2,101.2,44141,0,1e-10,0
AMSZ01,AMSZ02,4090,24330,101.2,101.2,262197,262197,1,810.449105866827
AMSZ01,AMSZ03,4090,23360,101.2,101.2,252654,252654,1,1360.9293746969736
AMSZ01,AMSZ04,4090,18170,101.2,101.2,115059,115059,1,840.4520976796664
AMSZ01,AMSZ05,4090,14870,101.2,101.2,263372,263372,1,1076.789863472297
AMSZ01,AMSZ06,4090,19710,101.2,101.2,143184,143184,1,805.2979464854981
AMSZ01,AMSZ07,4090,5660,101.2,101.2,66755,66755,1,1798.7526521659208
AMSZ01,AMSZ08,4090,6860,101.2,101.2,19096,19096,1,2576.019914029004
AMSZ01,AMSZ09,4090,20890,101.2,101.2,91264,91264,1,1204.2845587924703
AMSZ01,AMSZ12,4090,3590,101.2,101.2,24235,24235,1,1391.6813973383062
AMSZ01,BDSZ01,4090,32410,101.2,150.3,12404,12404,1,8104.481240449186
AMSZ01,BDSZ02,4090,21390,101.2,150.3,2002,2002,1,9560.685260482393
AMSZ01,BDSZ03,4090,32280,101.2,150.3,6000,6000,1,9314.241914071847
AMSZ01,BDSZ04,4090,71920,101.2,150.3,8838,8838,1,10976.031657087373
AMSZ01,BDSZ05,4090,28100,101.2,150.3,877,877,1,10403.712929052814
AMSZ01,BDSZ06,4090,40730,101.2,150.3,963,963,1,12269.109883709101
AMSZ01,BDSZ08,4090,6040,101.2,150.3,204,204,1,13073.121303318336
AMSZ01,BKSZ07,4090,23140,101.2,75.6,2009,2009,1,11072.420682041842
AMSZ01,BKSZ09,4090,12490,101.2,75.6,326,326,1,10474.919897225038
AMSZ01,BMSZ01,4090,3130,101.2,82.2,788,788,1,12087.14293060611
AMSZ01,BMSZ02,4090,870,101.2,82.2,239,239,1,10515.329547919117
AMSZ01,BMSZ04,4090,12770,101.2,82.2,395,395,1,10061.32785989132
AMSZ01,BMSZ08,4090,11640,101.2,82.2,139,139,1,9867.623569519676
AMSZ01,BMSZ10,4090,10690,101.2,82.2,267,267,1,9977.695667483062
AMSZ01,BMSZ16,4090,6860,101.2,82.2,638,638,1,10879.312440905966
AMSZ01,BSSZ01,4090,24960,101.2,49.5,98210,98210,1,2324.624902706227
AMSZ01,BSSZ02,4090,25060,101.2,49.5,35464,35464,1,2046.8774113801335
AMSZ01,BSSZ03,4090,24240,101.2,49.5,12596,12596,1,2629.398637266696
AMSZ01,BTSZ01,4090,18260,101.2,36.8,1593,1593,1,9220.301403515252
AMSZ01,BTSZ03,4090,8540,101.2,36.8,876,876,1,8648.058919874316
AMSZ01,BTSZ06,4090,5040,101.2,36.8,1429,1429,1,7254.402912900735
AMSZ01,CLSZ06,4090,12490,101.2,45.9,829,829,1,11483.908561582677
AMSZ01,CLSZ07,4090,13590,101.2,45.9,55,55,1,11576.87324248857
AMSZ01,DTSZ01,4090,730,101.2,21.5,4604,4604,1,8205.410126208768
AMSZ01,DTSZ08,4090,190,101.2,21.5,147,147,1,10410.582927595135
AMSZ01,DTSZ11,4090,850,101.2,21.5,358,358,1,10754.487316195024
AMSZ01,GLSZ02,4090,24330,101.2,61.4,10961,10961,1,6592.25346738156
AMSZ01,GLSZ03,4090,10130,101.2,61.4,7105,7105,1,7310.292902602398
AMSZ01,GLSZ04,4090,35280,101.2,61.4,1337,1337,1,7636.677508597307
AMSZ01,GLSZ05,4090,25690,101.2,61.4,11741,11741,1,8426.44893253847
AMSZ01,HGSZ01,4090,4220,101.2,120.8,15292,15292,1,4980.745812154344
AMSZ01,HGSZ02,4090,27410,101.2,120.8,12915,12915,1,5731.253956734946
AMSZ01,HGSZ03,4090,20870,101.2,120.8,7618,7618,1,5639.942683409645
AMSZ01,HGSZ04,4090,40510,101.2,120.8,36506,36506,1,4348.334475064241
AMSZ01,HGSZ05,4090,42440,101.2,120.8,31636,31636,1,3957.5535408033675
AMSZ01,HGSZ06,4090,21180,101.2,120.8,7714,7714,1,3922.8994891562033
AMSZ01,HGSZ07,4090,28450,101.2,120.8,6276,6276,1,4766.344868716866
AMSZ01,HGSZ08,4090,11870,101.2,120.8,11459,11459,1,5559.152622069402
AMSZ01,KLSZ01,4090,31940,101.2,55.4,2526,2526,1,5836.723847911232
AMSZ01,KLSZ02,4090,9870,101.2,55.4,4647,4647,1,6226.3856482371875
AMSZ01,KLSZ03,4090,10140,101.2,55.4,1516,1516,1,7001.0208349556315
AMSZ01,KLSZ04,4090,790,101.2,55.4,88,88,1,7614.693082631597
AMSZ01,KLSZ06,4090,8420,101.2,55.4,2341,2341,1,6986.055905339407
AMSZ01,KLSZ07,4090,8970,101.2,55.4,1617,1617,1,6542.495486946501
AMSZ01,KLSZ09,4090,7530,101.2,55.4,508,508,1,8184.547596288926
AMSZ01,MDSZ03,4090,1770,101.2,21.5,2529,2529,1,6421.156615237486
AMSZ01,MPSZ02,4090,7770,101.2,21.5,835,835,1,9520.690176046428
AMSZ01,MPSZ03,4090,22370,101.2,21.5,2518,2518,1,10274.237502318843
AMSZ01,MUSZ01,4090,220,101.2,21.5,103,103,1,8175.675745668731
AMSZ01,NTSZ03,4090,180,101.2,21.5,107,107,1,6827.003468155506
AMSZ01,NVSZ01,4090,27810,101.2,23.8,9474,9474,1,5246.746566295608
AMSZ01,NVSZ02,4090,7120,101.2,23.8,2985,2985,1,6111.6555960471005
AMSZ01,NVSZ04,4090,3160,101.2,23.8,664,664,1,5948.626735702653
AMSZ01,NVSZ05,4090,610,101.2,23.8,84,84,1,4742.826972924617
AMSZ01,ORSZ02,4090,190,101.2,21.5,322,322,1,7619.052226268926
AMSZ01,OTSZ03,4090,8660,101.2,11.7,4116,4116,1,10267.252974100082
AMSZ01,OTSZ04,4090,1220,101.2,11.7,601,601,1,9772.958596122588
AMSZ01,PGSZ02,4090,16380,101.2,60.4,188,188,1,7299.477997026436
AMSZ01,PGSZ03,4090,39010,101.2,60.4,2862,2862,1,6494.367874758793
AMSZ01,PGSZ04,4090,38980,101.2,60.4,2567,2567,1,7571.866034188577
AMSZ01,PGSZ05,4090,36770,101.2,60.4,2627,2627,1,8190.891668614194
AMSZ01,PRSZ02,4090,30470,101.2,78,730,730,1,10374.714259345286
AMSZ01,PRSZ03,4090,27050,101.2,78,2008,2008,1,11254.403759667954
AMSZ01,QTSZ08,4090,600,101.2,49.2,2,2,1,10316.121295786586
AMSZ01,QTSZ10,4090,9260,101.2,49.2,26,26,1,10681.340122890218
